season,round,pick,team,pfr_player_id,pfr_player_name,college,position,position_rank,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,unique_id,college_carries,college_tds,college_yards,college_long,college_ypc,pfr_id,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,receptions,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,fantasy_points
2018,3,71,DEN,FreeRo00,Royce Freeman,Oregon,RB,RB8,5-11,229.0,4.54,17.0,34.0,118.0,6.9,4.16,roycefreemanrboregon,947.0,60.0,5621.0,85.0,5.9,FreeRo00,130.0,521.0,5.0,1.0,1.0,14.0,72.0,0.0,0.0,0.0,101.3
2018,4,104,IND,HineNy00,Nyheim Hines,North Carolina St.,RB,RB9,5-8,198.0,4.38,,35.5,119.0,7.18,4.35,nyheimhinesrbnorthcarolinast,,,,,,HineNy00,85.0,314.0,2.0,1.0,0.0,63.0,425.0,2.0,0.0,0.0,160.9
2018,4,112,CIN,WaltMa00,Mark Walton,Miami (FL),RB,RB10,5-10,202.0,4.6,18.0,31.5,118.0,,,markwaltonrbmiamifl,,,,,,WaltMa00,14.0,34.0,0.0,0.0,0.0,5.0,41.0,0.0,0.0,0.0,12.5
2018,4,126,ATL,SmitIt00,Ito Smith,Southern Miss,RB,RB11,,,,,,,,,itosmithrbsouthernmiss,820.0,42.0,4536.0,89.0,5.5,SmitIt00,90.0,315.0,4.0,1.0,0.0,27.0,152.0,0.0,0.0,0.0,97.7
2018,4,131,MIA,BallKa00,Kalen Ballage,Arizona St.,RB,RB12,6-1,228.0,4.46,15.0,33.5,122.0,6.91,4.35,kalenballagerbarizonast,450.0,27.0,1984.0,75.0,4.4,BallKa00,36.0,191.0,1.0,1.0,1.0,9.0,56.0,0.0,0.0,0.0,37.7
2018,4,134,ARI,EdmoCh00,Chase Edmonds,Fordham,RB,RB13,5-9,205.0,4.55,19.0,34.0,122.0,6.79,4.07,chaseedmondsrbfordham,66.0,4.0,291.0,46.0,4.4,EdmoCh00,60.0,208.0,2.0,1.0,0.0,20.0,103.0,0.0,0.0,0.0,63.1
2018,5,169,IND,WilkJo01,Jordan Wilkins,Mississippi,RB,RB14,6-1,216.0,,16.0,36.0,117.0,,4.27,jordanwilkinsrbmississippi,,,,,,WilkJo01,60.0,336.0,1.0,0.0,0.0,16.0,85.0,0.0,2.0,2.0,60.1
2018,6,176,LAR,KellJo00,John Kelly,Tennessee,RB,RB15,5-10,216.0,,15.0,35.0,120.0,7.13,4.51,johnkellyrbtennessee,327.0,15.0,1573.0,73.0,4.8,KellJo00,27.0,74.0,0.0,0.0,0.0,2.0,27.0,0.0,0.0,0.0,12.1
2018,6,201,NOR,ScotBo02,Boston Scott,Louisiana Tech,RB,RB16,,,,,,,,,bostonscottrblouisianatech,287.0,14.0,1833.0,77.0,6.4,ScotBo02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,6,204,NYJ,CannTr00,Trenton Cannon,Virginia St.,RB,RB17,,,,,,,,,trentoncannonrbvirginiast,,,,,,CannTr00,38.0,113.0,1.0,0.0,0.0,17.0,144.0,0.0,0.0,0.0,48.7
2018,7,226,DEN,WillDa011,David Williams,Arkansas,RB,RB18,,,,,,,,,davidwilliamsrbarkansas,304.0,13.0,1450.0,37.0,4.8,WillDa011,8.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
2018,7,236,DAL,ScarBo01,Bo Scarbrough,Alabama,RB,RB19,6-1,228.0,4.52,14.0,40.0,129.0,,4.34,boscarbroughrbalabama,267.0,20.0,1512.0,85.0,5.7,ScarBo01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,7,237,DET,BawdNi00,Nick Bawden,San Diego St.,RB,RB20,6-2,245.0,,,,,,,nickbawdenrbsandiegost,,,,,,BawdNi00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,7,251,LAC,JackJu01,Justin Jackson,Northwestern,RB,RB21,6-0,199.0,4.52,13.0,38.5,122.0,6.81,4.07,justinjacksonrbnorthwestern,1142.0,41.0,5440.0,79.0,4.8,JackJu01,50.0,206.0,2.0,0.0,0.0,15.0,135.0,0.0,0.0,0.0,61.1
2019,1,24,OAK,JacoJo01,Josh Jacobs,Alabama,RB,RB1,5-10,220.0,,,,,,,joshjacobsrbalabama,252.0,16.0,1488.0,59.0,5.9,JacoJo01,242.0,1150.0,7.0,1.0,1.0,20.0,166.0,0.0,0.0,0.0,191.6
2019,2,53,PHI,SandMi01,Miles Sanders,Penn St.,RB,RB2,5-11,211.0,4.49,20.0,36.0,124.0,6.89,4.19,milessandersrbpennst,275.0,12.0,1646.0,78.0,6.0,SandMi01,179.0,818.0,3.0,2.0,1.0,50.0,509.0,3.0,0.0,0.0,216.7
